Name,Vacancies,Phase_1,Phase_1_notes,Phase_2A,Phase_2A_Ratio,Phase_2A_Balloting,Phase_2A_Balloting_ratio,Phase_2B,Phase_2B_ratio,Phase_2B_Balloting,Phase_2B_Balloting_ratio,Phase_2C,Phase_2C_ratio,Phase_2C_Balloting,Phase_2C_Balloting_ratio,Phase_2C_sup,Phase_2C_sup_ratio,Phase_2C_sup_Balloting,Phase_2C_sup_Balloting_ratio
Admiralty Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,42/60,No,N/A,There were more applicants than vacancies,27/26,Yes,6/5,There were more applicants than vacancies,87/52,Yes,74/52,No registration was conducted,N/A,N/A,N/A
Ahmad Ibrahim Primary School,220,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/132,No,N/A,All applicants were successful,1/62,No,N/A,All applicants were successful,31/185,No,N/A,All applicants were successful,29/154,No,N/A
Ai Tong School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,134/109,Yes,54/29,There were more applicants than vacancies,62/20,Yes,56/20,There were more applicants than vacancies,81/43,Yes,76/43,No registration was conducted,N/A,N/A,N/A
Alexandra Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,67/76,No,N/A,All applicants were successful,5/23,No,N/A,There were more applicants than vacancies,73/67,Yes,12/10,No registration was conducted,N/A,N/A,N/A
Anchor Green Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,21/116,No,N/A,All applicants were successful,0/52,No,N/A,All applicants were successful,23/155,No,N/A,All applicants were successful,45/132,No,N/A
Anderson Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,43/69,No,N/A,All applicants were successful,25/29,No,N/A,There were more applicants than vacancies,91/65,Yes,17/12,No registration was conducted,N/A,N/A,N/A
Ang Mo Kio Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/78,No,N/A,All applicants were successful,0/41,No,N/A,All applicants were successful,36/123,No,N/A,All applicants were successful,27/88,No,N/A
Anglo-Chinese School (Junior),270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,104/134,No,N/A,There were more applicants than vacancies,61/30,Yes,54/30,There were more applicants than vacancies,95/61,Yes,83/61,No registration was conducted,N/A,N/A,N/A
Anglo-Chinese School (Primary),240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,81/120,No,N/A,There were more applicants than vacancies,61/33,Yes,45/33,There were more applicants than vacancies,96/66,Yes,74/66,No registration was conducted,N/A,N/A,N/A
Angsana Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,125/78,Yes,118/78,All applicants were successful,1/20,No,N/A,There were more applicants than vacancies,167/59,Yes,164/59,No registration was conducted,N/A,N/A,N/A
Beacon Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,1/48,No,N/A,All applicants were successful,0/36,No,N/A,All applicants were successful,38/107,No,N/A,All applicants were successful,10/69,No,N/A
Bedok Green Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,5/140,No,N/A,All applicants were successful,0/65,No,N/A,All applicants were successful,30/195,No,N/A,All applicants were successful,50/166,No,N/A
Bendemeer Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/89,No,N/A,All applicants were successful,0/44,No,N/A,All applicants were successful,27/133,No,N/A,All applicants were successful,50/107,No,N/A
Blangah Rise Primary School,120,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,7/36,No,N/A,All applicants were successful,0/30,No,N/A,All applicants were successful,19/89,No,N/A,All applicants were successful,22/71,No,N/A
Boon Lay Garden Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,8/83,No,N/A,All applicants were successful,0/45,No,N/A,All applicants were successful,35/135,No,N/A,All applicants were successful,19/100,No,N/A
Bukit Panjang Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,62/81,No,N/A,All applicants were successful,20/26,No,N/A,There were more applicants than vacancies,78/61,Yes,16/3,No registration was conducted,N/A,N/A,N/A
Bukit Timah Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/78,No,N/A,All applicants were successful,0/44,No,N/A,All applicants were successful,104/132,Yes,18/8,There were more applicants than vacancies,63/39,Yes,11/8
Bukit View Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/148,No,N/A,All applicants were successful,0/67,No,N/A,All applicants were successful,92/202,No,N/A,There were more applicants than vacancies,121/111,Yes,7/4
CHIJ (Katong) Primary,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,28/87,No,N/A,All applicants were successful,12/40,No,N/A,All applicants were successful,71/107,No,N/A,There were more applicants than vacancies,50/36,Yes,17/14
CHIJ (Kellock),180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,14/80,No,N/A,All applicants were successful,6/42,No,N/A,All applicants were successful,57/123,No,N/A,All applicants were successful,39/66,No,N/A
CHIJ Our Lady Queen of Peace,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,8/87,No,N/A,All applicants were successful,7/46,No,N/A,All applicants were successful,89/132,No,N/A,All applicants were successful,41/43,No,N/A
CHIJ Our Lady of Good Counsel,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/53,No,N/A,All applicants were successful,9/34,No,N/A,All applicants were successful,44/93,No,N/A,All applicants were successful,44/49,No,N/A
CHIJ Our Lady of the Nativity,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,27/120,No,N/A,All applicants were successful,37/51,No,N/A,There were more applicants than vacancies,131/116,Yes,26/22,No registration was conducted,N/A,N/A,N/A
CHIJ Primary (Toa Payoh),210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,78/92,No,N/A,There were more applicants than vacancies,56/25,Yes,33/25,There were more applicants than vacancies,77/49,Yes,59/49,No registration was conducted,N/A,N/A,N/A
CHIJ St. Nicholas Girls' School (Primary),210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,117/86,Yes,48/17,There were more applicants than vacancies,48/20,Yes,38/20,There were more applicants than vacancies,71/41,Yes,66/41,No registration was conducted,N/A,N/A,N/A
Canberra Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,16/61,No,N/A,All applicants were successful,18/35,No,N/A,There were more applicants than vacancies,105/87,Yes,92/87,No registration was conducted,N/A,N/A,N/A
Canossa Catholic Primary School,120,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/19,No,N/A,All applicants were successful,14/24,No,N/A,All applicants were successful,34/60,No,N/A,There were more applicants than vacancies,44/26,Yes,25/15
Cantonment Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,5/61,No,N/A,All applicants were successful,0/39,No,N/A,All applicants were successful,29/116,No,N/A,All applicants were successful,22/87,No,N/A
Casuarina Primary School,160,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,38/42,No,N/A,All applicants were successful,0/21,No,N/A,All applicants were successful,30/64,No,N/A,All applicants were successful,15/34,No,N/A
Catholic High School (Primary),240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,141/94,Yes,45/37,There were more applicants than vacancies,35/20,Yes,28/20,There were more applicants than vacancies,72/40,Yes,68/40,No registration was conducted,N/A,N/A,N/A
Cedar Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,36/119,No,N/A,All applicants were successful,0/48,No,N/A,All applicants were successful,57/146,No,N/A,There were more applicants than vacancies,107/89,Yes,22/7
Changkat Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/171,No,N/A,All applicants were successful,1/74,No,N/A,All applicants were successful,42/220,No,N/A,All applicants were successful,10/178,No,N/A
Chongfu School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,120/98,Yes,47/27,There were more applicants than vacancies,39/20,Yes,38/20,There were more applicants than vacancies,138/40,Yes,124/40,No registration was conducted,N/A,N/A,N/A
Chongzheng Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,38/110,No,N/A,All applicants were successful,10/44,No,N/A,There were more applicants than vacancies,127/125,No,N/A,No registration was conducted,N/A,N/A,N/A
Chua Chu Kang Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,47/78,No,N/A,All applicants were successful,16/30,No,N/A,There were more applicants than vacancies,152/77,Yes,135/77,No registration was conducted,N/A,N/A,N/A
Clementi Primary School,320,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,13/183,No,N/A,All applicants were successful,0/77,No,N/A,All applicants were successful,86/231,No,N/A,All applicants were successful,136/145,No,N/A
Compassvale Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/72,No,N/A,All applicants were successful,19/38,No,N/A,There were more applicants than vacancies,112/96,Yes,102/96,No registration was conducted,N/A,N/A,N/A
