feature,coefficient,abs_coefficient
cat__flat_model_Terrace,0.5607843898740127,0.5607843898740127
cat__town_BUKIT TIMAH,0.3011820916701222,0.3011820916701222
cat__town_MARINE PARADE,0.2781770675777098,0.2781770675777098
cat__town_SEMBAWANG,-0.2246806346816677,0.2246806346816677
cat__town_WOODLANDS,-0.216593106718301,0.216593106718301
cat__town_QUEENSTOWN,0.21204396858777905,0.21204396858777905
cat__town_SENGKANG,-0.20795625675870705,0.20795625675870705
cat__town_BUKIT MERAH,0.20344646363648086,0.20344646363648086
num__floor_area_sqm,0.20291317413607157,0.20291317413607157
cat__town_CHOA CHU KANG,-0.20163133214436016,0.20163133214436016
cat__flat_type_1 ROOM,-0.1944645780688522,0.1944645780688522
cat__town_BISHAN,0.1921597972049206,0.1921597972049206
cat__town_JURONG WEST,-0.17957558716305133,0.17957558716305133
cat__town_PUNGGOL,-0.15955758049478128,0.15955758049478128
num__months_since_start,0.15165401006287083,0.15165401006287083
cat__town_BUKIT PANJANG,-0.14860983837490166,0.14860983837490166
num__lease_age_years,-0.1478303502516709,0.1478303502516709
cat__town_YISHUN,-0.13933306856912273,0.13933306856912273
cat__flat_model_Improved-Maisonette,0.1335750649471146,0.1335750649471146
cat__flat_model_3Gen,-0.13164212234490988,0.13164212234490988
cat__town_CENTRAL AREA,0.1163049895294607,0.1163049895294607
cat__flat_type_2 ROOM,-0.11451730050615297,0.11451730050615297
cat__flat_model_Standard,-0.11410069235366448,0.11410069235366448
cat__flat_model_Improved,-0.11398712365448783,0.11398712365448783
cat__flat_type_5 ROOM,0.0957588293585626,0.0957588293585626
cat__town_KALLANG/WHAMPOA,0.09308011913152825,0.09308011913152825
cat__flat_model_Model A,-0.09230807832694322,0.09230807832694322
cat__town_CLEMENTI,0.08821926806797598,0.08821926806797598
cat__town_BUKIT BATOK,-0.08711480933344486,0.08711480933344486
cat__flat_model_Model A2,-0.07959540999640057,0.07959540999640057
cat__town_TOA PAYOH,0.07532108534707845,0.07532108534707845
cat__flat_model_Premium Apartment,-0.07423056895559438,0.07423056895559438
cat__town_JURONG EAST,-0.07283456020167543,0.07283456020167543
cat__flat_type_4 ROOM,0.07272318247548915,0.07272318247548915
cat__flat_model_New Generation,-0.07003553917098684,0.07003553917098684
cat__flat_type_EXECUTIVE,0.06956026403911957,0.06956026403911957
cat__town_HOUGANG,-0.06733214506654826,0.06733214506654826
cat__town_SERANGOON,0.06587594596072995,0.06587594596072995
cat__flat_model_Premium Maisonette,-0.062478418394682426,0.062478418394682426
cat__flat_type_MULTI-GENERATION,0.05802512544603518,0.05802512544603518
cat__flat_model_Multi Generation,0.05802512544460447,0.05802512544460447
cat__town_GEYLANG,0.05715692371110518,0.05715692371110518
cat__flat_model_DBSS,0.05590216804998581,0.05590216804998581
num__ln_nearest_hawker_centre_walking_distance_m,-0.05183026282209232,0.05183026282209232
cat__flat_model_Type S1,0.050535381322990285,0.050535381322990285
num__storey_mid,0.0454397471102874,0.0454397471102874
cat__flat_model_Simplified,-0.04377569355155998,0.04377569355155998
cat__flat_model_2-room,-0.04235104503430221,0.04235104503430221
cat__flat_model_Adjoined flat,-0.04150605654030435,0.04150605654030435
cat__flat_model_Apartment,-0.04111753302851452,0.04111753302851452
cat__town_ANG MO KIO,0.03156414449086978,0.03156414449086978
cat__flat_model_Type S2,0.030868078669973684,0.030868078669973684
num__mrt_unique_lines_within_10min_walk,0.028630911584293567,0.028630911584293567
cat__town_PASIR RIS,-0.02259112678085703,0.02259112678085703
num__ln_nearest_mrt_walking_distance_m,-0.017693779502602824,0.017693779502602824
cat__town_BEDOK,0.015263107296102396,0.015263107296102396
num__school_count_2km,0.014968466691046211,0.014968466691046211
num__supermarkets_within_10min_walk,0.013102349257820113,0.013102349257820113
cat__flat_type_3 ROOM,0.012914477360429081,0.012914477360429081
num__hawker_centres_within_5min_walk,-0.011780488788842228,0.011780488788842228
num__good_school_count_2km,0.010240015031731253,0.010240015031731253
cat__flat_model_Model A-Maisonette,0.008679796676166402,0.008679796676166402
cat__flat_model_Premium Apartment Loft,0.007111419664260605,0.007111419664260605
num__bus_stops_within_5min_walk,0.005016007599029725,0.005016007599029725
num__ln_nearest_park_walking_distance_m,-0.0046816687122410005,0.0046816687122410005
num__school_count_1km,-0.0039789388377817,0.0039789388377817
num__ln_nearest_mall_walking_distance_m,-0.003917106147462659,0.003917106147462659
num__parks_within_5min_walk,0.0035611136183570286,0.0035611136183570286
num__ln_nearest_pcn_walking_distance_m,-0.00345203453613802,0.00345203453613802
num__good_school_count_1km,-0.0029203701296263668,0.0029203701296263668
num__ln_nearest_bus_stop_walking_distance_m,0.0025734599549975183,0.0025734599549975183
cat__town_TAMPINES,-0.0019849246725176335,0.0019849246725176335
cat__flat_model_Maisonette,0.0016468567305375902,0.0016468567305375902
num__malls_within_10min_walk,-0.0015005631172751283,0.0015005631172751283
num__pcns_within_5min_walk,0.001062027992131228,0.001062027992131228
num__ln_nearest_supermarket_walking_distance_m,0.00031201156750656925,0.00031201156750656925
