specification,bandwidth_m,sample_size,cutoff_coef_log_points,cutoff_std_err,cutoff_p_value,cutoff_premium_pct,cutoff_price_jump_sgd_at_local_mean_price,cutoff_price_jump_sgd_at_local_median_price,local_mean_resale_price,local_median_resale_price,cutoff_ci_low_pct,cutoff_ci_high_pct,r_squared,boundary_school_name,school_group,inside_n,outside_n
controlled,100,1093,0.014645115136046272,0.006453531464488592,0.02324899451082202,0.014752880269651714,7512.058517505225,7228.91133212934,509192.6715462031,490000.0,0.0019981871862213563,0.02766993112751015,0.9775181854148445,ADMIRALTY PRIMARY SCHOOL,good,832,261
uncontrolled,100,1093,0.00454245429609491,0.04685474897522787,0.9227680272347337,0.004552786880784865,2318.24571480735,2230.865571584584,509192.6715462031,490000.0,-0.08359131733696468,0.10117496780746738,0.06979358398267488,ADMIRALTY PRIMARY SCHOOL,good,832,261
controlled,200,2606,0.00357832082292661,0.005313312462016348,0.5006526039778431,0.0035847306560818915,1781.3361421127424,1720.670714919308,496923.2874136608,480000.0,-0.00681246086180054,0.01409076525465136,0.9718755269540763,ADMIRALTY PRIMARY SCHOOL,good,1840,766
uncontrolled,200,2606,-0.1295151598766794,0.03648739217582833,0.00038583647367601884,-0.12147872995881981,-60365.6098419731,-58309.790380233506,496923.2874136608,480000.0,-0.18211247230744987,-0.05634993103245689,0.020164800855526632,ADMIRALTY PRIMARY SCHOOL,good,1840,766
controlled,300,4194,-0.0009216908517759546,0.0046818610889857466,0.8439338073273949,-0.0009212662252310322,-451.41093632344723,-437.6014569847403,489989.67286599905,475000.0,-0.010047323574252642,0.008288921329931753,0.9681034701560229,ADMIRALTY PRIMARY SCHOOL,good,2864,1330
uncontrolled,300,4194,-0.10140949563058138,0.029664961132535493,0.0006296867500196711,-0.0964370479630241,-47253.15758356484,-45807.597782436445,489989.67286599905,475000.0,-0.1474750636913712,-0.042343545012489714,0.014759818228894273,ADMIRALTY PRIMARY SCHOOL,good,2864,1330
controlled,500,7358,-0.00599540223662717,0.003572871239293109,0.09334030771331962,-0.00597746567617119,-2973.6287994171844,-2917.0032499715408,497473.1701549334,488000.0,-0.012914117706623984,0.001007933015797935,0.9657213342620713,ADMIRALTY PRIMARY SCHOOL,good,5054,2304
uncontrolled,500,7358,-0.07219786762300025,0.020915903706963817,0.000556825673427688,-0.06965320791059315,-34650.60215074346,-33990.76546036946,497473.1701549334,488000.0,-0.10702173605469179,-0.030720916176676827,0.01209350938292486,ADMIRALTY PRIMARY SCHOOL,good,5054,2304
controlled,100,1202,-0.00640667642602755,0.008371840460317933,0.44411376554433935,-0.0063861974320488235,-2995.151289706872,-2777.995882941238,469003.8667886855,435000.0,-0.02255717875960972,0.01005231937831863,0.9680121689204518,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,465,737
uncontrolled,100,1202,-0.11670997395283375,0.03961965835735787,0.003221630742348141,-0.11015676654200324,-51663.949461138014,-47918.19344577141,469003.8667886855,435000.0,-0.176642267896298,-0.03830261227053988,0.044498531411425346,AHMAD IBRAHIM PRIMARY SCHOOL,non_good,465,737
