month,count,mean_price,median_price
2017-01,1167,428236.2536418166,405000.0
2017-02,1073,447122.8583410997,415000.0
2017-03,1872,445323.7210897436,415000.0
2017-04,1818,438405.5179537954,408000.0
2017-05,1955,443680.74475703324,410000.0
2017-06,1722,448498.4070847851,415000.0
2017-07,1761,439371.687677456,406000.0
2017-08,1936,445095.4297520661,415000.0
2017-09,1659,452598.17721518985,418000.0
2017-10,1761,443161.97955706983,410000.0
2017-11,1954,443092.9774206755,410000.0
2017-12,1566,450005.03959131544,418144.0
2018-01,1058,447155.96124763705,415000.0
2018-02,1168,443617.147260274,409388.0
2018-03,1855,456951.45552560646,420000.0
2018-04,1813,448453.84004412574,410000.0
2018-05,1723,448677.18688334303,412000.0
2018-06,1955,442844.021483376,410000.0
2018-07,2501,444347.1975209916,415000.0
2018-08,2043,441546.12867351936,405000.0
2018-09,1959,434396.7986881062,400000.0
2018-10,1956,430067.3507157464,398000.0
2018-11,1832,430303.86080786027,396500.0
2018-12,1407,427191.47832267237,395000.0
2019-01,1534,429066.05671447195,395000.0
2019-02,1281,428055.6799375488,393000.0
2019-03,1627,432217.0049170252,400000.0
2019-04,1889,431790.9391212282,400000.0
2019-05,2039,434124.5061304561,400000.0
2019-06,1863,431646.7552334944,400000.0
2019-07,2082,433353.16853025934,405000.0
2019-08,1872,433049.9945940171,408000.0
2019-09,1813,432084.17926089355,400000.0
2019-10,2179,430171.4121156494,400888.0
2019-11,1884,433525.9988747346,405000.0
2019-12,1828,431786.30087527353,405000.0
2020-01,1891,430726.3252247488,400000.0
2020-02,1644,439029.4148418491,408000.0
2020-03,1911,435003.568288854,412888.0
2020-04,422,440527.5186729858,424000.0
2020-05,362,446406.57458563533,430000.0
2020-06,2412,431895.7350248756,405000.0
2020-07,2431,436627.12006581656,413000.0
2020-08,2394,448720.81991645787,425000.0
2020-09,2463,460150.7015834348,432000.0
2020-10,2402,478020.512489592,450000.0
2020-11,2296,473513.80139372824,446888.0
2020-12,2456,483141.960504886,453000.0
2021-01,2457,487101.98936914944,460000.0
2021-02,2132,494662.50838649157,460000.0
2021-03,2406,492730.5024937656,465000.0
2021-04,2310,501246.4484848485,472000.0
2021-05,1933,511642.6047594413,480000.0
2021-06,2282,512377.02936021035,482000.0
2021-07,2627,511073.0590749905,480000.0
2021-08,2707,518063.01773180644,490000.0
2021-09,2484,521331.5128824477,493000.0
2021-10,2465,522390.7038539554,500000.0
2021-11,2543,533076.7246873771,505000.0
2021-12,2400,531519.8591666666,504400.0
2022-01,2416,526915.6212706954,500000.0
2022-02,1872,536753.4513888889,510000.0
2022-03,2233,537019.0930407523,510000.0
2022-04,2244,545286.4472727273,520000.0
2022-05,2129,546473.8486425552,520000.0
2022-06,2114,557385.3628192999,530000.0
2022-07,2334,558926.1799485862,532000.0
2022-08,2282,550110.9359684488,521500.0
2022-09,2552,565215.987460815,538000.0
2022-10,1928,568474.1643568465,541444.0
2022-11,2103,558307.2244412744,538000.0
2022-12,2211,550746.7036454093,530000.0
2023-01,2526,559363.7420902613,535000.0
2023-02,1817,553082.3192074848,538000.0
2023-03,2247,566633.3697730307,545000.0
2023-04,2147,575518.8186492781,550000.0
2023-05,2223,570597.4224021592,550000.0
2023-06,1829,575930.6943685074,550636.0
2023-07,2032,577911.9920669292,555444.0
2023-08,2441,578430.4738877509,555000.0
2023-09,1949,576354.9702411493,550000.0
2023-10,2168,576473.8726383764,555000.0
2023-11,2110,582201.7274312797,560000.0
2023-12,1977,578604.0227617603,560000.0
2024-01,2600,591575.765,570000.0
2024-02,2107,585591.4076317039,568000.0
2024-03,2013,596303.695479384,571888.0
2024-04,2326,590509.5202063628,570000.0
2024-05,2454,599277.9323553382,580000.0
2024-06,2129,619812.119774542,595000.0
2024-07,2994,615244.5377020709,595000.0
2024-08,2547,620927.7957989792,600000.0
2024-09,2153,626945.2991175104,610000.0
2024-10,2106,626987.1903513771,615000.0
2024-11,1898,632971.4077344574,615000.0
2024-12,2082,637748.6565802114,615444.0
2025-01,2289,636098.8408038444,612000.0
2025-02,2055,643376.0510364964,620000.0
2025-03,1872,642382.2067307692,620888.0
2025-04,2267,650175.6889633877,628888.0
2025-05,2237,657188.2042378186,635000.0
2025-06,2220,649347.8549504505,630000.0
2025-07,2522,654999.39888977,628000.0
2025-08,2163,648822.7026722146,620000.0
2025-09,2152,670375.4762453532,645000.0
2025-10,1309,642589.164919786,615000.0
2025-11,1623,646294.2420702403,615000.0
2025-12,1990,659177.6838592965,635000.0
2026-01,2304,655492.2012847222,628944.0
2026-02,1641,653061.3857404022,620000.0
2026-03,378,653819.2533333333,630000.0
