blk_no,postal_code,entity_id,latitude,longitude,hawker_centre_name,hawker_centre_type,hawker_centre_postal_code,hawker_centre_location,hawker_centre_latitude,hawker_centre_longitude,euclidean_distance_to_nearest_hawker_centre_km,nearest_hawker_centre_estimated_walking_km,walking_time_to_nearest_hawker_centre_mins
208B,122208,10220,1.32262089131768,103.76244687517259,Blk 448 Clementi Ave 3,MHC,120448,"Blk 448, Clementi Ave 3, S(120448)",1.3133196935787859,103.76451719342104,1.0607,1.2729,15.91
238,650238,197,1.350004530623835,103.75461829880709,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.0137,2.4165,30.21
88,370088,7907,1.3235529366461696,103.88589179838995,Blk 89 Circuit Road,MHC,370089,"Blk 89, Circuit Road, S(370089)",1.3235797144355141,103.88543884518086,0.0505,0.0606,0.76
44A,441044,8060,1.3051314811307628,103.91314038589518,Blk 50A Marine Terrace,MHC,441050,"Blk 50A, Marine Terrace, S(441050)",1.3057297369080327,103.91573703958302,0.2966,0.3559,4.45
671B,642671,4718,1.3440059055328157,103.70189779571486,Blks 221 A/B Boon Lay Place,MHC,641221,"Blk 221A/B, Boon Lay Place, S(641221/642221)",1.34522406539603,103.71280068325645,1.2209,1.4651,18.31
304C,543304,5915,1.388280557278771,103.88929609020389,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.2701,3.9242,49.05
115,560115,11052243,1.3729415875901176,103.83642975831881,Blks 160/162 Ang Mo Kio Ave 4,MHC,560160,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",1.3742826190622583,103.83897722017583,0.3204,0.3845,4.81
858,760858,10196,1.4176271774430937,103.83850131164306,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.9112,2.2935,28.67
863,760863,10224,1.4169754921813233,103.83863144508996,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.9787,2.3745,29.68
308,650308,3707,1.3585145564826284,103.74809396764655,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.0313,2.4376,30.47
229,680229,10762,1.3806706892646863,103.74637540602195,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,4.2493,5.0992,63.74
255,310255,5291,1.3315620212484127,103.85774411897286,Blk 22 Toa Payoh Lorong 7,MHC,310022,"Blk 22, Lorong 7 Toa Payoh, S(310022)",1.335382605843395,103.85700371355455,0.4332,0.5199,6.5
918,640918,122,1.3406794232264247,103.68720161716924,Quality Road Food Centre,HC,618824,"45, Quality Road, S(618824)",1.333252196135717,103.71047687645445,2.719,3.2629,40.79
305,760305,1628,1.4309916681347605,103.83959587522556,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.2452,1.4942,18.68
417,650417,647,1.3628798673818387,103.74630370454697,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.3598,2.8317,35.4
343,400343,107,1.3264556841812434,103.90047696233182,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,0.8017,0.962,12.03
139,760139,1354,1.4316941960428065,103.83153763804417,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,0.3475,0.417,5.21
936,530936,5555,1.374681019573965,103.87991092503562,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,1.8661,2.2393,27.99
407,600407,11906,1.3188972277637048,103.7486380292725,Blk 37A Teban Gardens Road,MHC,601037,"Blk 37A, Teban Gardens Road, S(601037)",1.3208317211187113,103.74274735198563,0.69,0.828,10.35
625,470625,971,1.3339639292904657,103.91609682677343,Blk 630 Bedok Reservoir Road,MHC,470630,"Blk 630, Bedok Reservoir Road, S(470630)",1.333159291179886,103.91405397906551,0.2444,0.2932,3.67
146,670146,4954,1.375573184715663,103.76629806083888,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,4.1636,4.9963,62.45
542A,551542,5053,1.373579401517794,103.87177650746527,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,1.1933,1.4319,17.9
350,650350,8643,1.361721453912585,103.74915871518536,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.3948,2.8738,35.92
808D,684808,11714,1.3749210429656284,103.74555888399861,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,3.6057,4.3269,54.09
619C,823619,8123,1.4024751811261538,103.91069780103894,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.5545,6.6654,83.32
339,650339,2719,1.3632057203294399,103.75054629184375,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.6172,3.1406,39.26
891A,521891,3302,1.348767634334032,103.93095983868842,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.5601,1.8721,23.4
127A,161127,10958,1.2819670019457499,103.8296678805013,Tiong Bahru Market,MHC,168898,"30, Seng Poh Road, S(168898)",1.2847855701797928,103.83218156721784,0.4204,0.5044,6.31
470,670470,7435,1.3884121216772327,103.77325055693665,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,5.4588,6.5506,81.88
229,600229,6087,1.3417925944628433,103.73802360705403,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.1914,0.2297,2.87
875,730875,11871,1.4425660598965908,103.78962427961095,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,1.4116,1.694,21.17
126C,823126,641,1.3940548260376417,103.91067660188381,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.7606,5.7127,71.41
211,460211,10667,1.3254629780234868,103.93197254445629,Blk 208B New Upper Changi Road,HC,462208,"Blk 208B, New Upper Changi Road, S(462208)",1.324818168664196,103.93054429749219,0.1744,0.2093,2.62
133,570133,4065,1.3455814119710696,103.85182567789819,Blk 210 Toa Payoh Lorong 8,MHC,310210,"Blk 210, Lorong 8 Toa Payoh, S(310210)",1.340252082146037,103.85433383564761,0.6556,0.7868,9.83
680,680680,11731,1.4033610804773784,103.74491084018393,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,5.0476,6.0571,75.71
930,520930,2946,1.3460031138693564,103.9396124785634,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,0.5593,0.6711,8.39
48,380048,7241,1.3177861308050167,103.87943292675436,Blk 49 Sims Place,MHC,380049,"Blk 49, Sims Place, S(380049)",1.3170350274674942,103.87930985963374,0.0847,0.1017,1.27
985,530985,5308,1.3814853544084926,103.88002847563344,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,2.4385,2.9262,36.58
639,820639,4124,1.3994768219661489,103.91606302960022,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.601,6.7212,84.01
356C,403356,12826,1.3275025590025347,103.9000786205239,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,0.9244,1.1093,13.87
606,640606,5362,1.3380238629412815,103.69928641038028,Quality Road Food Centre,HC,618824,"45, Quality Road, S(618824)",1.333252196135717,103.71047687645445,1.3539,1.6247,20.31
462,680462,11493,1.3775166886093557,103.73520765253474,Blk 505 Jurong West Street 52,MHC,640505,"Blk 505, Jurong West Street 52, S(640505)",1.3496572879772837,103.71844368450239,3.6192,4.3431,54.29
