blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
208B,122208,10220,1.32262089131768,103.76244687517259,COLD STORAGE SINGAPORE (1983) PTE LTD,41,SUNSET WAY,597071,1.32325040085144,103.767260053848,0.5402,0.6483,8.1
238,650238,197,1.350004530623835,103.75461829880709,NTUC FAIRPRICE CO-OPERATIVE LTD,280,BUKIT BATOK EAST AVENUE 3,650280,1.34770147779385,103.757044586256,0.3723,0.4468,5.59
88,370088,7907,1.3235529366461696,103.88589179838995,NTUC FAIRPRICE CO-OPERATIVE LTD,114,ALJUNIED AVENUE 2,380114,1.32176644586798,103.886672786663,0.217,0.2604,3.26
44A,441044,8060,1.3051314811307628,103.91314038589518,COLD STORAGE SINGAPORE (1983) PTE LTD,56,MARINE TERRACE,440056,1.30560570262798,103.915376080603,0.2544,0.3052,3.82
671B,642671,4718,1.3440059055328157,103.70189779571486,SHENG SIONG SUPERMARKET PTE LTD,7,JURONG WEST AVENUE 5,649486,1.34878489456242,103.703415655686,0.5582,0.6698,8.37
304C,543304,5915,1.388280557278771,103.88929609020389,U STARS SUPERMARKET PTE. LTD.,215C,COMPASSVALE DRIVE,543215,1.38977025366003,103.892787164081,0.4224,0.5069,6.34
115,560115,11052243,1.3729415875901176,103.83642975831881,COLD STORAGE SINGAPORE (1983) PTE LTD,161,ANG MO KIO AVENUE 4,560161,1.374239506746,103.839489194952,0.3699,0.4438,5.55
858,760858,10196,1.4176271774430937,103.83850131164306,NTUC FAIRPRICE CO-OPERATIVE LTD,598,YISHUN RING ROAD,768698,1.41799925737436,103.841236466066,0.3072,0.3686,4.61
863,760863,10224,1.4169754921813233,103.83863144508996,U STARS PTE. LTD.,507,YISHUN AVENUE 4,760507,1.41517633772651,103.83983039077,0.2407,0.2888,3.61
308,650308,3707,1.3585145564826284,103.74809396764655,COLD STORAGE SINGAPORE (1983) PTE LTD,376,BUKIT BATOK STREET 31,650376,1.35831704701199,103.749579874348,0.1668,0.2002,2.5
229,680229,10762,1.3806706892646863,103.74637540602195,PRIME SUPERMARKET (1996) PTE LTD,253,CHOA CHU KANG AVENUE 1,680253,1.37743962647899,103.744383226701,0.4225,0.507,6.34
255,310255,5291,1.3315620212484127,103.85774411897286,COLD STORAGE SINGAPORE (1983) PTE LTD,260,KIM KEAT AVENUE,310260,1.33211277384514,103.857378075733,0.0736,0.0883,1.1
918,640918,122,1.3406794232264247,103.68720161716924,PRIME SUPERMARKET LIMITED,962,JURONG WEST STREET 91,640962,1.34201783432949,103.691483120672,0.4992,0.5991,7.49
305,760305,1628,1.4309916681347605,103.83959587522556,HAO MART PTE. LTD.,239,YISHUN RING ROAD,760239,1.43359514246154,103.839685380422,0.29,0.348,4.35
417,650417,647,1.3628798673818387,103.74630370454697,NTUC FAIRPRICE CO-OPERATIVE LTD,2,BUKIT BATOK WEST AVENUE 7,659003,1.36650698092595,103.746847123122,0.4083,0.4899,6.12
343,400343,107,1.3264556841812434,103.90047696233182,COLD STORAGE SINGAPORE (1983) PTE LTD,306,UBI AVENUE 1,400306,1.32987219697453,103.901929745106,0.4133,0.4959,6.2
139,760139,1354,1.4316941960428065,103.83153763804417,COLD STORAGE SINGAPORE (1983) PTE LTD,102,YISHUN AVENUE 5,760102,1.43061828496815,103.828762985206,0.3312,0.3974,4.97
936,530936,5555,1.374681019573965,103.87991092503562,NTUC FAIRPRICE CO-OPERATIVE LTD,1,HOUGANG STREET 91,538692,1.3756672808109,103.879450260083,0.1212,0.1454,1.82
407,600407,11906,1.3188972277637048,103.7486380292725,NTUC FAIRPRICE CO-OPERATIVE LTD,37,TEBAN GARDENS ROAD,600037,1.32052027199062,103.742651522893,0.6903,0.8284,10.35
625,470625,971,1.3339639292904657,103.91609682677343,COLD STORAGE SINGAPORE (1983) PTE LTD,631,BEDOK RESERVOIR ROAD,470631,1.3329587272309,103.914941831132,0.1704,0.2045,2.56
146,670146,4954,1.375573184715663,103.76629806083888,SONG FISH DEALER PTE LTD,17,PETIR ROAD,678278,1.37834971351323,103.762741183479,0.5022,0.6027,7.53
542A,551542,5053,1.373579401517794,103.87177650746527,PRIME SUPERMARKET (1996) PTE LTD,542B,SERANGOON NORTH AVENUE 3,552542,1.37368392879254,103.871416983339,0.0417,0.05,0.63
350,650350,8643,1.361721453912585,103.74915871518536,MCP FAIRMART PTE LTD,BLK 371,BUKIT BATOK STREET 31,650371,1.35925940699667,103.75069463728,0.323,0.3876,4.85
808D,684808,11714,1.3749210429656284,103.74555888399861,U STARS PTE. LTD.,810,CHOA CHU KANG AVENUE 7,680810,1.37405796748332,103.746160084444,0.1171,0.1405,1.76
619C,823619,8123,1.4024751811261538,103.91069780103894,COLD STORAGE SINGAPORE (1983) PTE LTD,622D,PUNGGOL CENTRAL,824622,1.40053114255394,103.91053692695,0.2171,0.2606,3.26
339,650339,2719,1.3632057203294399,103.75054629184375,OH BENG GUAN,395A,BUKIT BATOK WEST AVENUE 5,651395,1.36393821477866,103.751896006132,0.1709,0.2051,2.56
891A,521891,3302,1.348767634334032,103.93095983868842,U STARS SUPERMARKET PTE. LTD.,878C,TAMPINES AVENUE 8,523878,1.3512641069979,103.929363838846,0.3298,0.3958,4.95
127A,161127,10958,1.2819670019457499,103.8296678805013,NTUC FAIRPRICE CO-OPERATIVE LTD,18 /20,KIM TIAN ROAD,169252,1.28480734614992,103.829298011427,0.3189,0.3826,4.78
470,670470,7435,1.3884121216772327,103.77325055693665,SHENG SIONG SUPERMARKET PTE LTD,547,SEGAR ROAD,670547,1.3882402152635,103.769575387874,0.4094,0.4913,6.14
229,600229,6087,1.3417925944628433,103.73802360705403,NTUC FAIRPRICE CO-OPERATIVE LTD,249,JURONG EAST STREET 24,600249,1.34259104167685,103.739199499869,0.1582,0.1898,2.37
875,730875,11871,1.4425660598965908,103.78962427961095,COLD STORAGE SINGAPORE (1983) PTE LTD,883,WOODLANDS STREET 82,730883,1.44275332239793,103.79054802026,0.1049,0.1259,1.57
126C,823126,641,1.3940548260376417,103.91067660188381,NTUC FAIRPRICE CO-OPERATIVE LTD,168,PUNGGOL FIELD,820168,1.394184094795,103.912976438987,0.2563,0.3076,3.85
211,460211,10667,1.3254629780234868,103.93197254445629,NTUC FAIRPRICE CO-OPERATIVE LTD,212,BEDOK NORTH STREET 1,460212,1.32594069682932,103.931640028654,0.0648,0.0777,0.97
133,570133,4065,1.3455814119710696,103.85182567789819,NTUC FAIRPRICE CO-OPERATIVE LTD,510,BISHAN STREET 13,570510,1.34888843913817,103.849691986415,0.4381,0.5257,6.57
680,680680,11731,1.4033610804773784,103.74491084018393,NTUC FAIRPRICE CO-OPERATIVE LTD,21,CHOA CHU KANG NORTH 6,689578,1.39730189954737,103.746558069293,0.699,0.8388,10.48
930,520930,2946,1.3460031138693564,103.9396124785634,COLD STORAGE SINGAPORE (1983) PTE LTD,829,TAMPINES STREET 81,520829,1.34922418771454,103.934912522809,0.6342,0.761,9.51
48,380048,7241,1.3177861308050167,103.87943292675436,YEO HOCK HENG,5,ALJUNIED ROAD,389797,1.31357605426931,103.881877796975,0.5419,0.6503,8.13
985,530985,5308,1.3814853544084926,103.88002847563344,COLD STORAGE SINGAPORE (1983) PTE LTD,982,BUANGKOK CRESCENT,530982,1.380850346979,103.879309100327,0.1068,0.1282,1.6
