shopping_centre_name,latitude,longitude,index_right,OBJECTID,LU_DESC,LU_TEXT,GPR,WHI_Q_MX,GPR_B_MN,SHAPE.AREA,SHAPE.LEN
100 AM,1.27458821795426,103.84347073661,15432,16945,HOTEL,,6.3,,,7565.47044977,375.675415334861
313@Somerset,1.30101436404056,103.838360664485,89131,90185,COMMERCIAL,,5.6,,,5395.83553146,521.856424743959
Aperia,1.3104736675734,103.86431321816,23198,24797,BUSINESS 1 - WHITE,W,3.0,,2.5,28394.15216648,754.533908219155
Balestier Hill Shopping Centre,1.32559594839311,103.842571612968,42036,40025,COMMERCIAL & RESIDENTIAL,,3.0,,,16655.743310075,837.404552864595
Bugis Cube,1.2981408343975,103.855635339249,15327,16936,COMMERCIAL,,4.2,,,1079.10641671,149.4238704325
Bugis Junction,1.29911287475873,103.855411173758,105320,103634,COMMERCIAL,,4.5,,,25706.576797825,713.087646199973
Bugis+,1.30095171530648,103.855172625542,39431,41759,COMMERCIAL,,EVA,,,2596.99233329,236.39529722145
Capitol Piazza,1.29307884763132,103.851261982149,76270,78861,COMMERCIAL,,3.5,,,5466.086863405,294.623172578498
Cathay Cineleisure Orchard,1.30146393496315,103.836463810773,76114,77793,COMMERCIAL,,4.9,,,4860.82274872,291.670353054264
The Centrepoint,1.30145045537088,103.840034074858,96341,98299,COMMERCIAL,,5.6,,,8208.78769038,439.586878273614
City Square Mall,1.3113827185663,103.856626855768,29656,27939,COMMERCIAL,,EVA,,,11097.24086336,413.250503747549
CityLink Mall,1.29260349413333,103.854316064564,17167,16562,PARK,,EVA,,,16763.742671735,517.892592795227
Duo,1.29953434891664,103.85840168774,99283,98552,WHITE,,6.0,,,26680.303561655,951.623832768782
Far East Plaza,1.30730468891062,103.833818438639,17812,15932,COMMERCIAL & RESIDENTIAL,,4.9,,,7451.596192875,428.648654882479
Funan,1.29134759697794,103.849989790085,64619,66427,COMMERCIAL,,7.0,,,9982.934398555,506.986037089405
Great World City,1.29342272650003,103.832022146655,66396,64978,COMMERCIAL & RESIDENTIAL,,3.7,,,32044.86179463,773.812427372969
HDB Hub,1.33201387005935,103.84984949662,103242,105376,COMMERCIAL,,EVA,,,991.378898895,135.258078480683
ION Orchard,1.30399286856099,103.831988903795,26547,25246,COMMERCIAL,,6.3,,,18649.58566485,550.030096069573
Junction 8,1.35017243180201,103.848553703258,50049,50316,COMMERCIAL,,EVA,,,11113.897172425,502.175991887273
Knightsbridge,1.3029831225958,103.836283923443,64524,65382,COMMERCIAL,,4.9,,,3803.52270482,305.751667722361
Liat Towers,1.30508722710852,103.830722581168,41094,40557,COMMERCIAL,,6.3,,,3836.87915257,248.944620175736
Lucky Plaza,1.3044637897474,103.834005158524,100138,102537,COMMERCIAL,,6.3,,,9069.55100085,395.872073420317
Marina Bay Sands,1.28466203640592,103.861005919029,62589,62215,WHITE,,EVA,,,31214.83591018,1053.71214299707
The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297,111203,112117,WHITE,,EVA,,,82381.62557492,1593.95314959926
Marina Bay Link Mall,1.28003113385646,103.854284863268,99051,100001,WHITE,,EVA,,,29533.243788585,674.159867841897
Marina Square,1.29159480494333,103.857048715656,25054,26328,HOTEL,,3.4,,,91946.067453645,1671.63540726542
Millenia Walk,1.29267926922552,103.860302888543,35325,36548,HOTEL,,3.6,,,79675.063464795,2003.91746056956
Ngee Ann City,1.3022727300848,103.834899517575,64458,65378,COMMERCIAL,,6.3,,,26850.237131055,718.591621245759
Orchard Central,1.30083890839245,103.839434733899,76019,77776,COMMERCIAL,,5.6,,,3739.096198015,368.293202339607
Orchard Gateway,1.30160116957544,103.838868886519,18529,15682,COMMERCIAL,,EVA,,,1183.18062482,137.627622347624
Orchard Plaza,1.30125729409965,103.841150144584,26553,25252,COMMERCIAL,,5.6,,,4202.17454419,288.463480702392
Midpoint Orchard,1.30178778502846,103.838659766022,58969,61027,COMMERCIAL,,5.6,,,1137.918128735,143.110837098038
Palais Renaissance,1.30665484543191,103.829588045188,41082,40545,COMMERCIAL,,4.9,,,2708.382296045,225.66700380403
People's Park Centre,1.28564781446701,103.843861556498,111247,110501,COMMERCIAL,,8.6,,,8869.14005955,391.375608623713
People's Park Complex,1.28404487854559,103.842590753293,40088,41930,COMMERCIAL,,5.6,,,10614.76019072,448.761671682422
Plaza Singapura,1.30082071769235,103.845067272938,99760,99056,COMMERCIAL,,5.6,,,12297.458367665,540.852202171999
Raffles City,1.29397670992871,103.853333627297,64801,66464,HOTEL,,9.9,,,30289.797986405,685.429188791437
Scotts Square,1.30579942993543,103.833074706219,26521,25521,COMMERCIAL & RESIDENTIAL,,6.3,,,5216.701082495,305.830829058588
Sim Lim Square,1.30290658774258,103.853031869482,26429,25501,COMMERCIAL,,4.2,,,7245.72614886,330.972937719537
Singapore Shopping Centre,1.28649701803051,103.844628721032,83636,85836,HOTEL,,8.3,,,3699.41252112,232.95585455374
The South Beach,1.29498804392056,103.856276242094,105011,103586,COMMERCIAL,,4.2,,,34958.99581914,781.352332513253
Square 2,1.27822949964567,103.850812513482,110796,112206,WHITE,,13.0,,,6060.31344489,308.440397780071
