term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],specification,bandwidth_m
Intercept,13.101072490950871,0.011733400786293272,1116.562259277403,0.0,13.078075447993562,13.12406953390818,uncontrolled,100
C(boundary_school_name)[T.AHMAD IBRAHIM PRIMARY SCHOOL],-0.12538585419941686,0.015102566292448277,-8.302287953678007,1.0212531654048287e-16,-0.1549863402067441,-0.09578536819208963,uncontrolled,100
C(boundary_school_name)[T.AI TONG SCHOOL],0.12839219928558698,0.018703869836350757,6.864472454575053,6.673741599672903e-12,0.09173328803481443,0.16505111053635954,uncontrolled,100
C(boundary_school_name)[T.ALEXANDRA PRIMARY SCHOOL],0.4353956932273984,0.014667565639136664,29.684250538866234,1.2263205646900012e-193,0.4066477928338133,0.4641435936209835,uncontrolled,100
C(boundary_school_name)[T.ANCHOR GREEN PRIMARY SCHOOL],0.10462915260671563,0.012715360845397655,8.22856337927573,1.894720446745394e-16,0.07970750329930545,0.1295508019141258,uncontrolled,100
C(boundary_school_name)[T.ANDERSON PRIMARY SCHOOL],-0.2482662458476145,0.024388861597661623,-10.179492997386069,2.4483365266772808e-24,-0.2960675362029633,-0.20046495549226573,uncontrolled,100
C(boundary_school_name)[T.ANG MO KIO PRIMARY SCHOOL],0.08980895704932768,0.01796892254455912,4.998015703313346,5.792326914054497e-07,0.05459051602100198,0.12502739807765337,uncontrolled,100
C(boundary_school_name)[T.ANGLO-CHINESE SCHOOL (JUNIOR)],0.03993023250871913,0.02371486552341621,1.6837638176481229,0.09222732239358125,-0.00655004981538726,0.08641051483282552,uncontrolled,100
C(boundary_school_name)[T.ANGSANA PRIMARY SCHOOL],0.1519768257856207,0.014521564133719142,10.465596156596504,1.2429166331185932e-25,0.12351508308434259,0.1804385684868988,uncontrolled,100
C(boundary_school_name)[T.BEACON PRIMARY SCHOOL],0.030981080830597918,0.016250076611584882,1.9065190627169795,0.056582894854508584,-0.0008684840741251254,0.06283064573532096,uncontrolled,100
C(boundary_school_name)[T.BEDOK GREEN PRIMARY SCHOOL],-0.21776578219063453,0.015338948890789498,-14.196916864453161,9.573247371570647e-46,-0.24782956957728255,-0.1877019948039865,uncontrolled,100
C(boundary_school_name)[T.BENDEMEER PRIMARY SCHOOL],0.03150850433954122,0.020289143567216582,1.5529736006429076,0.12042944163627299,-0.008257486329365793,0.07127449500844824,uncontrolled,100
C(boundary_school_name)[T.BLANGAH RISE PRIMARY SCHOOL],-0.29590594684384136,0.021866977895284422,-13.532091551967635,1.0110548638878297e-41,-0.3387644359693323,-0.2530474577183504,uncontrolled,100
C(boundary_school_name)[T.BOON LAY GARDEN PRIMARY SCHOOL],-0.007229737835552974,0.01418163471698639,-0.5097958013890587,0.6101945274735017,-0.03502523112274918,0.020565755451643235,uncontrolled,100
C(boundary_school_name)[T.BUKIT PANJANG PRIMARY SCHOOL],0.04380904919519574,0.01870671295105276,2.341889208960695,0.01918640943251924,0.007144565542003337,0.08047353284838814,uncontrolled,100
C(boundary_school_name)[T.BUKIT TIMAH PRIMARY SCHOOL],0.24619082145760873,0.02669095586847277,9.223754393465097,2.8687566447265855e-20,0.19387750924245412,0.29850413367276335,uncontrolled,100
C(boundary_school_name)[T.BUKIT VIEW PRIMARY SCHOOL],-0.08825986815811415,0.01861461309580011,-4.741429096800708,2.122159277806117e-06,-0.12474383941203,-0.0517758969041983,uncontrolled,100
C(boundary_school_name)[T.CANBERRA PRIMARY SCHOOL],-0.09669630292139486,0.017282579298397913,-5.595015723744346,2.2060177584403967e-08,-0.1305695359062123,-0.06282306993657744,uncontrolled,100
C(boundary_school_name)[T.CANOSSA CATHOLIC PRIMARY SCHOOL],0.05886827510500153,0.02082938676442668,2.826212589491079,0.004710199219642422,0.018043427226669954,0.0996931229833331,uncontrolled,100
C(boundary_school_name)[T.CANTONMENT PRIMARY SCHOOL],-0.09063816447275125,0.021288252184944255,-4.25766115909006,2.0657673512553673e-05,-0.1323623720490481,-0.04891395689645439,uncontrolled,100
C(boundary_school_name)[T.CASUARINA PRIMARY SCHOOL],0.13351240669885278,0.014872843631231354,8.976925328421476,2.784387339795581e-19,0.10436216883394342,0.16266264456376214,uncontrolled,100
C(boundary_school_name)[T.CEDAR PRIMARY SCHOOL],0.27376722572206463,0.02757016981556174,9.929834584027086,3.0876733385945414e-23,0.21973068583591032,0.32780376560821894,uncontrolled,100
C(boundary_school_name)[T.CHANGKAT PRIMARY SCHOOL],-0.14300799937418138,0.01576138335929214,-9.073315210613847,1.1544970271251295e-19,-0.1738997431049229,-0.11211625564343985,uncontrolled,100
C(boundary_school_name)[T.CHIJ (KELLOCK)],-0.10158691702768904,0.02536420640777492,-4.005128936206318,6.198366254689809e-05,-0.15129984808336794,-0.051873985972010137,uncontrolled,100
C(boundary_school_name)[T.CHIJ OUR LADY OF GOOD COUNSEL],-0.03400707501217132,0.018016477285619507,-1.8875540691473174,0.05908584116371251,-0.0693187216202695,0.0013045715959268678,uncontrolled,100
C(boundary_school_name)[T.CHIJ OUR LADY OF THE NATIVITY],0.08145325631565614,0.012985668254393082,6.272550223828513,3.5518182818892366e-10,0.05600181422186059,0.10690469840945169,uncontrolled,100
C(boundary_school_name)[T.CHIJ OUR LADY QUEEN OF PEACE],-0.15251317113419988,0.0175197825355299,-8.705197728619352,3.1702158002448474e-18,-0.1868513139208123,-0.11817502834758745,uncontrolled,100
C(boundary_school_name)[T.CHIJ PRIMARY (TOA PAYOH)],-0.3900686534151686,0.017958340178424056,-21.720752003785645,1.3062336634673617e-104,-0.42526635338699836,-0.35487095344333885,uncontrolled,100
C(boundary_school_name)[T.CHONGFU SCHOOL],-0.0011614351241428233,0.013400838935915923,-0.08666883690617548,0.93093474772717,-0.027426596801160094,0.025103726552874447,uncontrolled,100
C(boundary_school_name)[T.CHONGZHENG PRIMARY SCHOOL],0.11058477147784335,0.015090543683553777,7.32808398403582,2.334664059980928e-13,0.08100784935094954,0.14016169360473715,uncontrolled,100
C(boundary_school_name)[T.CHUA CHU KANG PRIMARY SCHOOL],-0.10418796379983902,0.025005628926175742,-4.166580417050646,3.092028493236559e-05,-0.15319809590591646,-0.05517783169376158,uncontrolled,100
