address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
ANG MO KIO|406|ANG MO KIO AVE 10,406 ANG MO KIO AVE 10 SINGAPORE,1.362004539387137,103.8538799104064,30288.23466313537,38229.0674628187,406 ANG MO KIO AVENUE 10 SINGAPORE 560406,3.0,
ANG MO KIO|108|ANG MO KIO AVE 4,108 ANG MO KIO AVE 4 SINGAPORE,1.370966352226251,103.8382019403253,28543.45874657668,39220.00989209302,108 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560108,3.0,
ANG MO KIO|602|ANG MO KIO AVE 5,602 ANG MO KIO AVE 5 SINGAPORE,1.380708830448884,103.8353682266017,28228.09995370451,40297.28314881027,602 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560602,3.0,
ANG MO KIO|465|ANG MO KIO AVE 10,465 ANG MO KIO AVE 10 SINGAPORE,1.366201040829407,103.8572009672343,30657.82469323836,38693.09865687229,465 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560465,3.0,
ANG MO KIO|601|ANG MO KIO AVE 5,601 ANG MO KIO AVE 5 SINGAPORE,1.381041347844975,103.8351317448222,28201.78248668648,40334.05121229962,601 ANG MO KIO AVENUE 5 MY FIRST SKOOL SINGAPORE 560601,3.0,
ANG MO KIO|150|ANG MO KIO AVE 5,150 ANG MO KIO AVE 5 SINGAPORE,1.376806785067447,103.8420179625757,28968.13326837029,39865.81646120362,150 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560150,3.0,
ANG MO KIO|447|ANG MO KIO AVE 10,447 ANG MO KIO AVE 10 SINGAPORE,1.36747901420817,103.8559671391242,30520.51301652938,38834.40912771411,447 ANG MO KIO AVENUE 10 CHONG BOON CENTRE SINGAPORE 560447,3.0,
ANG MO KIO|218|ANG MO KIO AVE 1,218 ANG MO KIO AVE 1 SINGAPORE,1.36511908595886,103.8417424784885,28937.47985214833,38573.45004367083,218 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560218,3.0,
ANG MO KIO|571|ANG MO KIO AVE 3,571 ANG MO KIO AVE 3 SINGAPORE,1.37005501296044,103.8548805587595,30399.58709441312,39119.24886394478,571 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560571,3.0,
ANG MO KIO|534|ANG MO KIO AVE 10,534 ANG MO KIO AVE 10 SINGAPORE,1.374058462955839,103.8541681704256,30320.30304706004,39561.92932496406,534 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560534,3.0,
ANG MO KIO|233|ANG MO KIO AVE 3,233 ANG MO KIO AVE 3 SINGAPORE,1.367549249779073,103.836740628478,28380.8330470454,38842.16381541081,233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233,3.0,
ANG MO KIO|235|ANG MO KIO AVE 3,235 ANG MO KIO AVE 3 SINGAPORE,1.366823608723433,103.8364912335099,28353.0784864286,38761.92608442716,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,3.0,
ANG MO KIO|219|ANG MO KIO AVE 1,219 ANG MO KIO AVE 1 SINGAPORE,1.365981980045068,103.8406540396118,28816.34925792646,38668.86408115365,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,3.0,
ANG MO KIO|536|ANG MO KIO AVE 10,536 ANG MO KIO AVE 10 SINGAPORE,1.374473785197393,103.8541005158259,30312.77352289483,39607.85348379426,536 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560536,3.0,
ANG MO KIO|230|ANG MO KIO AVE 3,230 ANG MO KIO AVE 3 SINGAPORE,1.368854452280862,103.8378963978231,28509.45602661651,38986.48667706363,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,3.0,
ANG MO KIO|570|ANG MO KIO AVE 3,570 ANG MO KIO AVE 3 SINGAPORE,1.3697435855576,103.8560231382764,30526.7426821338,39084.81397771277,570 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560570,3.0,
ANG MO KIO|624|ANG MO KIO AVE 4,624 ANG MO KIO AVE 4 SINGAPORE,1.38156171229824,103.8400022687298,28743.81012806576,40391.59143631347,624 ANG MO KIO AVENUE 4 SINGAPORE 560624,3.0,
ANG MO KIO|441|ANG MO KIO AVE 10,441 ANG MO KIO AVE 10 SINGAPORE,1.366050278290333,103.8541683098528,30320.32626260351,38676.42496295087,441 ANG MO KIO AVENUE 10 SINGAPORE 560441,3.0,
ANG MO KIO|625|ANG MO KIO AVE 9,625 ANG MO KIO AVE 9 SINGAPORE,1.382198677419213,103.8412115334746,28878.38576065376,40462.02421718836,625 ANG MO KIO AVENUE 9 YIO CHU KANG HEIGHTS SINGAPORE 560625,3.0,
ANG MO KIO|119|ANG MO KIO AVE 3,119 ANG MO KIO AVE 3 SINGAPORE,1.369563443019119,103.8446989108163,29266.49328917544,39064.88577937707,119 ANG MO KIO AVENUE 3 SINGAPORE 560119,3.0,
ANG MO KIO|255|ANG MO KIO AVE 4,255 ANG MO KIO AVE 4 SINGAPORE,1.370654870788556,103.834630215787,28145.96926301904,39185.56734806113,255 ANG MO KIO AVENUE 4 KEBUN BARU VIEW SINGAPORE 560255,3.0,
ANG MO KIO|432|ANG MO KIO AVE 10,432 ANG MO KIO AVE 10 SINGAPORE,1.368309969813522,103.8536003056639,30257.11206289847,38926.28962024301,432 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560432,3.0,
ANG MO KIO|211|ANG MO KIO AVE 3,211 ANG MO KIO AVE 3 SINGAPORE,1.369196965617022,103.8416666360859,28929.03792988136,39024.36118669808,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,3.0,
ANG MO KIO|584|ANG MO KIO AVE 3,584 ANG MO KIO AVE 3 SINGAPORE,1.370713079859175,103.8534978030134,30245.70251616743,39192.01321787387,584 ANG MO KIO AVENUE 3 CHENG SAN COURT SINGAPORE 560584,3.0,
ANG MO KIO|118|ANG MO KIO AVE 4,118 ANG MO KIO AVE 4 SINGAPORE,1.373295936496547,103.8354757191338,28240.06325319689,39477.60302500799,118 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560118,3.0,
ANG MO KIO|333|ANG MO KIO AVE 1,333 ANG MO KIO AVE 1 SINGAPORE,1.361342556406113,103.8516986214539,30045.48337549996,38155.86679590493,333 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560333,3.0,
