OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17885,BRIGHT HILL MRT STATION,Exit 1,CFB9350F44E8991A,20251202172807,BRIGHT HILL MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17886,BRIGHT HILL MRT STATION,Exit 2,F273E9D550B06062,20251202172807,BRIGHT HILL MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17887,BRIGHT HILL MRT STATION,Exit 4,BC4A442B12F99E85,20251202172807,BRIGHT HILL MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17888,BRIGHT HILL MRT STATION,Exit 3,2A45076ED986B275,20251202172807,BRIGHT HILL MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17889,UPPER THOMSON MRT STATION,Exit 2,3EA737829473A972,20251202172807,UPPER THOMSON MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17890,UPPER THOMSON MRT STATION,Exit 1,02A569EE1B9EC73B,20251202172807,UPPER THOMSON MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17891,UPPER THOMSON MRT STATION,Exit 5,2313E9492AA32861,20251202172807,UPPER THOMSON MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17892,UPPER THOMSON MRT STATION,Exit 3,A00E2C99CAD73E80,20251202172807,UPPER THOMSON MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17893,UPPER THOMSON MRT STATION,Exit 4,7A835D396BF0703F,20251202172807,UPPER THOMSON MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17894,CALDECOTT MRT STATION,Exit 2,00BCCDD48A0A19AB,20251202172807,CALDECOTT MRT STATION,"['Circle Line', 'Thomson-East Coast Line']",2,"[""Circle Line"", ""Thomson-East Coast Line""]",True
17895,CALDECOTT MRT STATION,Exit 3,857DEE03468202D9,20251202172807,CALDECOTT MRT STATION,"['Circle Line', 'Thomson-East Coast Line']",2,"[""Circle Line"", ""Thomson-East Coast Line""]",True
17896,CALDECOTT MRT STATION,Exit 4,907574C903E3C5B1,20251202172807,CALDECOTT MRT STATION,"['Circle Line', 'Thomson-East Coast Line']",2,"[""Circle Line"", ""Thomson-East Coast Line""]",True
17897,CANBERRA MRT STATION,Exit D,DD34E7FB97694745,20251202172807,CANBERRA MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17898,CANBERRA MRT STATION,Exit A,749D0975B17D266E,20251202172807,CANBERRA MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17899,CANBERRA MRT STATION,Exit C,B2A3B66D0D93D04A,20251202172807,CANBERRA MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17900,CANBERRA MRT STATION,Exit B,5CC317629EEEF874,20251202172807,CANBERRA MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17901,CANBERRA MRT STATION,Exit E,9BEA4511424691E9,20251202172807,CANBERRA MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17902,WOODLANDS MRT STATION,Exit 2,A981B455F405BCC2,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17903,WOODLANDS MRT STATION,Exit 3,ABE9AA34AD7D1F14,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17904,WOODLANDS MRT STATION,Exit 4,D82504FE62821345,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17905,WOODLANDS MRT STATION,Exit 1,5CB3F601FBDF6CC4,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17906,WOODLANDS MRT STATION,Exit 6,F7F55451430108C4,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17907,FARMWAY LRT STATION,Exit A,B5FE598CC9473CDE,20251202172807,FARMWAY LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17908,FARMWAY LRT STATION,Exit B,C66585DE1453A1EF,20251202172807,FARMWAY LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17909,LAYAR LRT STATION,Exit A,213B4B13C275292B,20251202172807,LAYAR LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17910,LAYAR LRT STATION,Exit B,F757F13626617675,20251202172807,LAYAR LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17911,KRANJI MRT STATION,Exit B,E0BD26E3F5EE18B9,20251202172807,KRANJI MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17912,KRANJI MRT STATION,Exit A,91BDDFEBA5A15383,20251202172807,KRANJI MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17913,MARSILING MRT STATION,Exit C,BC10B89687EB57DF,20251202172807,MARSILING MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17914,MARSILING MRT STATION,Exit A,A4DF45D1ABCFAC02,20251202172807,MARSILING MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17915,PAYA LEBAR MRT STATION,Exit A,CC4D13D27CAEA2B1,20251202172807,PAYA LEBAR MRT STATION,"['Circle Line', 'East-West Line']",2,"[""Circle Line"", ""East-West Line""]",True
17916,PAYA LEBAR MRT STATION,Exit B,69CB616E4522ABA4,20251202172807,PAYA LEBAR MRT STATION,"['Circle Line', 'East-West Line']",2,"[""Circle Line"", ""East-West Line""]",True
17917,YIO CHU KANG MRT STATION,Exit C,896C97CCBA89A32A,20251202172807,YIO CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17918,YIO CHU KANG MRT STATION,Exit A,03DE662B8A72F32A,20251202172807,YIO CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17919,YIO CHU KANG MRT STATION,Exit B,F73C9CE1485EDFF0,20251202172807,YIO CHU KANG MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17920,ADMIRALTY MRT STATION,Exit C,887FE97DECFFEA05,20251202172807,ADMIRALTY MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17921,OUTRAM PARK MRT STATION,Exit 4,7A26F4DA0D6151ED,20251202172807,OUTRAM PARK MRT STATION,"['East-West Line', 'North East Line', 'Thomson-East Coast Line']",3,"[""East-West Line"", ""North East Line"", ""Thomson-East Coast Line""]",True
17882,MAYFLOWER MRT STATION,Exit 4,AE51C872434B37D7,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17883,MAYFLOWER MRT STATION,Exit 5,728784A5D5FEAA7A,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17884,MAYFLOWER MRT STATION,Exit 6,64DA1E7B1619F148,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18042,ORCHARD BOULEVARD MRT STATION,Exit 1,387A884B34A26CED,20251202172807,ORCHARD BOULEVARD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18043,ORCHARD BOULEVARD MRT STATION,Exit 2,4FC444363DB7E86D,20251202172807,ORCHARD BOULEVARD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18044,GREAT WORLD MRT STATION,Exit 5,65268329B5AD5F93,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18045,GREAT WORLD MRT STATION,Exit 1,FCF6BA18E63CA65C,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18046,GREAT WORLD MRT STATION,Exit 2,72FD2496EC6B1D54,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18047,GREAT WORLD MRT STATION,Exit 6,4F2D7457D45F29D1,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18048,GREAT WORLD MRT STATION,Exit 3,C2D22AD994AA8975,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18049,GREAT WORLD MRT STATION,Exit 4,5FD7E726E04576E5,20251202172807,GREAT WORLD MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18050,HAVELOCK MRT STATION,Exit 3,3509B8FC37977C9F,20251202172807,HAVELOCK MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18051,NAPIER MRT STATION,Exit 1,8800C596B7DB260F,20251202172807,NAPIER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18052,NAPIER MRT STATION,Exit 2,CE1402EDB6926C4A,20251202172807,NAPIER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
18053,ORCHARD MRT STATION,Exit 12,A360078B6432F773,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18054,ORCHARD MRT STATION,Exit 11,0A847CDFAB7B3F63,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18055,ORCHARD MRT STATION,Exit 10,B3BE3F499ED707F1,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18056,ORCHARD MRT STATION,Exit 9,AD31C99F12BAEE46,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18057,ORCHARD MRT STATION,Exit 8,705858431FF72BCB,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18058,ORCHARD MRT STATION,Exit 13,DBD31FCCFBAE692E,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18059,ORCHARD MRT STATION,Exit 5,FCA5411E28B2A33D,20251202172807,ORCHARD MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
18060,TAMPINES EAST MRT STATION,Exit D,99EACB07EB87275F,20251202172807,TAMPINES EAST MRT STATION,['Downtown Line'],1,"[""Downtown Line""]",True
18061,TANJONG PAGAR MRT STATION,Exit F,39E16699C1976560,20251202172807,TANJONG PAGAR MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
18062,TANJONG PAGAR MRT STATION,Exit G,E1CC299B43F4C1C1,20251202172807,TANJONG PAGAR MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
18063,TANJONG PAGAR MRT STATION,Exit H,E922D2F204D2DA84,20251202172807,TANJONG PAGAR MRT STATION,['East-West Line'],1,"[""East-West Line""]",True
18064,ESPLANADE MRT STATION,Exit E,5A8D40F4CDB7B0AD,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
18065,ESPLANADE MRT STATION,Exit F,C6AC4E01D3816D01,20251202172807,ESPLANADE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
