blk_no,postal_code,entity_id,latitude,longitude,bus_stop_num,bus_roof_num,bus_stop_latitude,bus_stop_longitude,euclidean_distance_to_nearest_bus_stop_km,nearest_bus_stop_estimated_walking_km,walking_time_to_nearest_bus_stop_mins
208B,122208,10220,1.32262089131768,103.76244687517259,20109,B20,1.3208136915062183,103.7620904048219,0.2051,0.2461,3.08
238,650238,197,1.350004530623835,103.75461829880709,43179,B09,1.3489304250092065,103.7544027969527,0.122,0.1463,1.83
88,370088,7907,1.3235529366461696,103.88589179838995,70211,B01,1.3236506270076105,103.88685190672044,0.1074,0.1289,1.61
44A,441044,8060,1.3051314811307628,103.91314038589518,92239,B02,1.3043789180207204,103.91270438244058,0.0968,0.1162,1.45
671B,642671,4718,1.3440059055328157,103.70189779571486,22341,B04,1.3448833047577518,103.70096096104844,0.1429,0.1714,2.14
304C,543304,5915,1.388280557278771,103.88929609020389,67291,B03,1.3871501894467466,103.88980329933364,0.1379,0.1655,2.07
115,560115,11052243,1.3729415875901176,103.83642975831881,54191,B03,1.3742042682391848,103.83735921801721,0.1745,0.2094,2.62
858,760858,10196,1.4176271774430937,103.83850131164306,59439,B03,1.4177891909158316,103.83829014361119,0.0296,0.0355,0.44
863,760863,10224,1.4169754921813233,103.83863144508996,59439,B03,1.4177891909158316,103.83829014361119,0.0982,0.1179,1.47
308,650308,3707,1.3585145564826284,103.74809396764655,43471,B03,1.3580185897917239,103.74734973617306,0.0995,0.1194,1.49
229,680229,10762,1.3806706892646863,103.74637540602195,44489,B04,1.3818073855314166,103.74534629782374,0.1707,0.2048,2.56
255,310255,5291,1.3315620212484127,103.85774411897286,52331,B03,1.3325070209468797,103.85582893567363,0.2377,0.2852,3.57
918,640918,122,1.3406794232264247,103.68720161716924,27531,NIL,1.3404739137545099,103.68696809700492,0.0346,0.0415,0.52
305,760305,1628,1.4309916681347605,103.83959587522556,59179,B01,1.4322468737665166,103.83991356300797,0.1441,0.173,2.16
417,650417,647,1.3628798673818387,103.74630370454697,43499,B01,1.362633163414944,103.74687317524396,0.0691,0.0829,1.04
343,400343,107,1.3264556841812434,103.90047696233182,71111,B03,1.3267145814288541,103.90051744037594,0.0292,0.035,0.44
139,760139,1354,1.4316941960428065,103.83153763804417,59149,B03,1.4306356331806638,103.83225086511847,0.1421,0.1705,2.13
936,530936,5555,1.374681019573965,103.87991092503562,64489,B03,1.374896844680044,103.88061627449423,0.0821,0.0985,1.23
407,600407,11906,1.3188972277637048,103.7486380292725,20191,B02,1.3191959512217515,103.74844043040342,0.0399,0.0478,0.6
625,470625,971,1.3339639292904657,103.91609682677343,84501,B31,1.333115848532838,103.9159962539621,0.0951,0.1141,1.43
146,670146,4954,1.375573184715663,103.76629806083888,44209,B06,1.3772509197710738,103.76692504750372,0.1994,0.2392,2.99
542A,551542,5053,1.373579401517794,103.87177650746527,66429,B02,1.3735024273716658,103.87236863420743,0.0665,0.0797,1.0
350,650350,8643,1.361721453912585,103.74915871518536,43841,B01,1.3619658075157575,103.74745167722344,0.1919,0.2303,2.88
808D,684808,11714,1.3749210429656284,103.74555888399861,44871,B01,1.374234693504512,103.74672521357986,0.1506,0.1807,2.26
619C,823619,8123,1.4024751811261538,103.91069780103894,65389,NIL,1.4020450488216456,103.90994944876259,0.0961,0.1153,1.44
339,650339,2719,1.3632057203294399,103.75054629184375,43581,B05,1.362579387705694,103.75135910154373,0.1142,0.1371,1.71
891A,521891,3302,1.348767634334032,103.93095983868842,75249,B03,1.3479621464657359,103.93010037210783,0.1311,0.1573,1.97
127A,161127,10958,1.2819670019457499,103.8296678805013,10121,UNK,1.282619281641266,103.82892502057433,0.11,0.132,1.65
470,670470,7435,1.3884121216772327,103.77325055693665,44691,B01,1.388308191057049,103.77137492976381,0.2091,0.2509,3.14
229,600229,6087,1.3417925944628433,103.73802360705403,28331,B03,1.3420839031310698,103.73800160996285,0.0325,0.039,0.49
875,730875,11871,1.4425660598965908,103.78962427961095,46441,B02,1.4422084972873377,103.78967607428285,0.0402,0.0483,0.6
126C,823126,641,1.3940548260376417,103.91067660188381,65179,B01,1.3943242807301437,103.91186202818203,0.1353,0.1623,2.03
211,460211,10667,1.3254629780234868,103.93197254445629,84091,NIL,1.325787052867784,103.93010848049096,0.2106,0.2527,3.16
133,570133,4065,1.3455814119710696,103.85182567789819,53409,B03,1.3453195189688592,103.85131336701033,0.064,0.0768,0.96
680,680680,11731,1.4033610804773784,103.74491084018393,45401,B07,1.402863174697085,103.74594658838753,0.1279,0.1535,1.92
930,520930,2946,1.3460031138693564,103.9396124785634,75051,B10,1.3450572811974773,103.94022669841517,0.1255,0.1506,1.88
48,380048,7241,1.3177861308050167,103.87943292675436,80249,B01,1.316901881467894,103.87984530177863,0.1086,0.1303,1.63
985,530985,5308,1.3814853544084926,103.88002847563344,66611,NA,1.380911888278546,103.88008025340486,0.0641,0.0769,0.96
639,820639,4124,1.3994768219661489,103.91606302960022,65329,NIL,1.3998465331135619,103.91632951751103,0.0507,0.0609,0.76
356C,403356,12826,1.3275025590025347,103.9000786205239,71119,B04,1.326780974341722,103.90022129675282,0.0819,0.0983,1.23
606,640606,5362,1.3380238629412815,103.69928641038028,22519,B03,1.3377609785572668,103.70009604588859,0.0947,0.1137,1.42
462,680462,11493,1.3775166886093557,103.73520765253474,30081,B02,1.3772571461759366,103.73433811055057,0.101,0.1212,1.51
531,460531,7139,1.3333004415004048,103.92606854147338,84409,B05,1.3329118498108579,103.92665045568022,0.0779,0.0935,1.17
325,820325,11053266,1.4134765740706727,103.89872775356241,65641,NIL,1.4153812892502087,103.89984161106695,0.2456,0.2947,3.68
15,460015,8346,1.3209127784786399,103.93553524843288,84119,B05,1.3197053392020686,103.9351615995348,0.1407,0.1688,2.11
417,760417,1663,1.4240251069338203,103.8464525184479,59461,B01,1.4233548773157922,103.84691404163807,0.0906,0.1087,1.36
464,790464,12993,1.397606630766757,103.8759934950597,67741,B04,1.3967322765762025,103.87572810679868,0.1017,0.1221,1.53
113A,161113,8407,1.280203282492373,103.8252442228343,10501,B07,1.281099285599597,103.82522194256165,0.0998,0.1197,1.5
358,400358,12995,1.3294914875485893,103.89897990678298,71129,B05A,1.3297126596393756,103.89906704865248,0.0265,0.0318,0.4
75B,152075,9253,1.2884584780913517,103.8158859154207,10421,B06,1.2889126087774188,103.81503650993186,0.1072,0.1286,1.61
354,530354,6760,1.3724841214659376,103.8994587722921,64321,B08,1.3723334117670887,103.90041690472843,0.1079,0.1295,1.62
136,730136,8768,1.4383781144091845,103.77773329128676,46079,B05,1.438881768273204,103.77696923524465,0.1018,0.1222,1.53
120B,822120,10063,1.3947329874663768,103.90756483658848,65191,B01,1.3951833419583715,103.90545369414286,0.2402,0.2883,3.6
109B,342109,12501,1.333418082907084,103.8726715747717,61111,NIL,1.3354194605805636,103.87207587505448,0.2324,0.2789,3.49
278,540278,11052968,1.3814615142928877,103.89003374167208,67621,B02,1.3808947273434344,103.89032369173142,0.0709,0.085,1.06
613,470613,11215,1.3319668538785856,103.9170688007969,84501,B31,1.333115848532838,103.9159962539621,0.175,0.2099,2.62
220,600220,10977,1.3410891149182882,103.73748507314454,28331,B03,1.3420839031310698,103.73800160996285,0.1248,0.1497,1.87
250A,541250,3897,1.3916706333305664,103.89986998753535,67101,B07,1.391418549132031,103.899646969856,0.0375,0.045,0.56
86,440086,12661,1.3018483331652497,103.90691772251206,92049,B02,1.3029679846003537,103.9058482608372,0.1723,0.2068,2.59
147,470147,986,1.3348502733492207,103.91174726076339,84701,B07,1.3360128134215712,103.91206286698764,0.1341,0.1609,2.01
54,461054,5030,1.3248594188737692,103.94255404377773,84069,B12,1.3254491255424985,103.9421108321796,0.0821,0.0985,1.23
47,310047,11054727,1.336871951940578,103.85404402653617,52349,B06,1.336218593179481,103.8553544274707,0.163,0.1956,2.44
205,600205,5485,1.337522217648867,103.74288155171776,28069,B10,1.3364809244972908,103.74246708724986,0.1248,0.1497,1.87
327,120327,1089,1.3140030581825575,103.76652353876216,17169,B14,1.3128906715233148,103.76688005826121,0.13,0.156,1.95
615,510615,8615,1.376365501773669,103.94161976823561,77181,B01A,1.3759684975718078,103.94106650388339,0.0758,0.0909,1.14
354,610354,3970,1.3390461602288461,103.72111138803803,21621,B01,1.3392512102304934,103.7220871407483,0.111,0.1332,1.66
204,530204,217,1.3588633678395117,103.8850633553387,63221,B01,1.3586989314517697,103.88570227733766,0.0734,0.0881,1.1
